date,text,clean_review,tokens,lemmatized,processed_text,topic,sentiment_score,sentiment,topic_name,menu_item
2025-11-01,"Your description of the quaint atmosphere brings a smile, and it's wonderful to hear that you enjoyed our vegetarian and vegan fusion offerings. Sanju and Abhishek will be delighted to know their service made such a positive impression.",your description of the quaint atmosphere brings a smile and its wonderful to hear that you enjoyed our vegetarian and vegan fusion offerings sanju and abhishek will be delighted to know their service made such a positive impression,"['description', 'quaint', 'atmosphere', 'brings', 'smile', 'wonderful', 'hear', 'enjoyed', 'vegetarian', 'vegan', 'fusion', 'offerings', 'sanju', 'abhishek', 'delighted', 'know', 'made', 'positive', 'impression']","['description', 'quaint', 'atmosphere', 'bring', 'smile', 'wonderful', 'hear', 'enjoy', 'vegetarian', 'vegan', 'fusion', 'offering', 'sanju', 'abhishek', 'delighted', 'know', 'positive', 'impression']",description quaint atmosphere bring smile wonderful hear enjoy vegetarian vegan fusion offering sanju abhishek delighted know positive impression,1,0.9531,Positive,Millet & Vegan Experience,vegan
2025-01-25,A very impressive plant based cafe. The burgers were awesome and bakery items really fresh. The service is polite and prompt. Good view of the N block park. Perfect to sit at the window on a cold winter day and absorb the sun …More,a very impressive plant based cafe the burgers were awesome and bakery items really fresh the service is polite and prompt good view of the n block park perfect to sit at the window on a cold winter day and absorb the sun more,"['impressive', 'plant', 'based', 'cafe', 'burgers', 'bakery', 'items', 'fresh', 'polite', 'prompt', 'view', 'block', 'park', 'perfect', 'sit', 'window', 'cold', 'winter', 'day', 'absorb', 'sun']","['impressive', 'plant', 'base', 'cafe', 'burger', 'bakery', 'item', 'fresh', 'polite', 'prompt', 'view', 'block', 'park', 'perfect', 'sit', 'window', 'cold', 'winter', 'day', 'absorb', 'sun']",impressive plant base cafe burger bakery item fresh polite prompt view block park perfect sit window cold winter day absorb sun,3,0.7506,Positive,Healthy & Vegan Options,burger
2025-01-25,"We're thrilled to hear you enjoyed your experience at our plant-based café! It's wonderful that our burgers and freshly baked goods left such a great impression. We'll make sure to pass on your compliments to our team, and we hope to see you again soon for another cozy winter day by the window!",were thrilled to hear you enjoyed your experience at our plantbased caf its wonderful that our burgers and freshly baked goods left such a great impression well make sure to pass on your compliments to our team and we hope to see you again soon for another cozy winter day by the window,"['thrilled', 'hear', 'enjoyed', 'plantbased', 'caf', 'wonderful', 'burgers', 'freshly', 'baked', 'goods', 'left', 'impression', 'sure', 'pass', 'compliments', 'team', 'hope', 'see', 'soon', 'another', 'cozy', 'winter', 'day', 'window']","['thrill', 'hear', 'enjoy', 'plantbase', 'caf', 'wonderful', 'burger', 'freshly', 'bake', 'leave', 'impression', 'sure', 'pass', 'compliment', 'team', 'hope', 'see', 'soon', 'another', 'cozy', 'winter', 'day', 'window']",thrill hear enjoy plantbase caf wonderful burger freshly bake leave impression sure pass compliment team hope see soon another cozy winter day window,1,0.9545,Positive,Millet & Vegan Experience,burger
2025-01-01,I always enjoy the young vibes of this restaurant. Also they have variety of twists in their menu. Pizza was good but sushi was ok. Saffron tea was nice. Service is good n so is the staff. Ample of space to sit so no waiting last time their …More,i always enjoy the young vibes of this restaurant also they have variety of twists in their menu pizza was good but sushi was ok saffron tea was nice service is good n so is the staff ample of space to sit so no waiting last time their more,"['always', 'enjoy', 'young', 'vibes', 'variety', 'twists', 'menu', 'pizza', 'sushi', 'saffron', 'tea', 'ample', 'space', 'sit', 'waiting', 'last']","['always', 'enjoy', 'young', 'vibe', 'variety', 'twist', 'menu', 'pizza', 'sushi', 'saffron', 'tea', 'ample', 'space', 'sit', 'waiting', 'last']",always enjoy young vibe variety twist menu pizza sushi saffron tea ample space sit waiting last,1,0.4939,Positive,Millet & Vegan Experience,pizza
2025-09-01,"Absolutely loved this place! The food was fresh, flavorful, and beautifully presented—hard to believe vegan dishes can taste this good. The staff was warm and …More",absolutely loved this place the food was fresh flavorful and beautifully presentedhard to believe vegan dishes can taste this good the staff was warm and more,"['loved', 'fresh', 'flavorful', 'beautifully', 'presentedhard', 'believe', 'vegan', 'dishes', 'warm']","['love', 'fresh', 'flavorful', 'beautifully', 'presentedhard', 'believe', 'vegan', 'dish', 'warm']",love fresh flavorful beautifully presentedhard believe vegan dish warm,3,0.9022,Positive,Healthy & Vegan Options,vegan
2025-09-01,"We are thrilled to hear that you had such a wonderful experience! It's our mission to create delicious plant-based dishes that everyone can enjoy, and it sounds like we hit the mark. Knowing that our staff made a positive impression and that you loved the atmosphere truly warms our hearts. We can't wait to welcome you back for another round of tasty vegan delights!",we are thrilled to hear that you had such a wonderful experience its our mission to create delicious plantbased dishes that everyone can enjoy and it sounds like we hit the mark knowing that our staff made a positive impression and that you loved the atmosphere truly warms our hearts we cant wait to welcome you back for another round of tasty vegan delights,"['thrilled', 'hear', 'wonderful', 'mission', 'create', 'delicious', 'plantbased', 'dishes', 'everyone', 'enjoy', 'sounds', 'hit', 'mark', 'knowing', 'made', 'positive', 'impression', 'loved', 'atmosphere', 'truly', 'warms', 'hearts', 'cant', 'wait', 'welcome', 'back', 'another', 'round', 'tasty', 'vegan', 'delights']","['thrilled', 'hear', 'wonderful', 'mission', 'create', 'delicious', 'plantbase', 'dish', 'everyone', 'enjoy', 'sound', 'hit', 'mark', 'know', 'positive', 'impression', 'love', 'atmosphere', 'truly', 'warm', 'heart', 'wait', 'welcome', 'back', 'another', 'round', 'tasty', 'vegan', 'delight']",thrilled hear wonderful mission create delicious plantbase dish everyone enjoy sound hit mark know positive impression love atmosphere truly warm heart wait welcome back another round tasty vegan delight,1,0.9907,Positive,Millet & Vegan Experience,vegan
2025-09-01,The pizza was outstanding. Superb. The choices available for vegetarians is refreshing.,the pizza was outstanding superb the choices available for vegetarians is refreshing,"['pizza', 'outstanding', 'superb', 'choices', 'available', 'vegetarians', 'refreshing']","['pizza', 'outstanding', 'superb', 'choice', 'available', 'vegetarian', 'refresh']",pizza outstanding superb choice available vegetarian refresh,0,0.8442,Positive,Menu & Food Variety,pizza
2024-01-01,"Love the food here. Delicious and good quality. Ambience is amazing too, you can relax here and enjoy. We ordered burgers, drinks and dessert. The burgers and the thai lime cake were superb. Allergens were clearly labeled on the menu. Do …More",love the food here delicious and good quality ambience is amazing too you can relax here and enjoy we ordered burgers drinks and dessert the burgers and the thai lime cake were superb allergens were clearly labeled on the menu do more,"['love', 'delicious', 'quality', 'relax', 'enjoy', 'ordered', 'burgers', 'drinks', 'dessert', 'burgers', 'thai', 'lime', 'cake', 'superb', 'allergens', 'clearly', 'labeled', 'menu']","['love', 'delicious', 'quality', 'relax', 'enjoy', 'burger', 'drink', 'dessert', 'burger', 'thai', 'lime', 'cake', 'superb', 'allergens', 'clearly', 'label', 'menu']",love delicious quality relax enjoy burger drink dessert burger thai lime cake superb allergens clearly label menu,4,0.9674,Positive,Overall Experience & Ambience,burger
2024-01-01,"Love the food here. Delicious and good quality. Ambience is amazing too, you can relax here and enjoy. We ordered burgers, drinks and dessert. The burgers and the thai lime cake were superb. Allergens were clearly labeled on the menu. Do …More",love the food here delicious and good quality ambience is amazing too you can relax here and enjoy we ordered burgers drinks and dessert the burgers and the thai lime cake were superb allergens were clearly labeled on the menu do more,"['love', 'delicious', 'quality', 'relax', 'enjoy', 'ordered', 'burgers', 'drinks', 'dessert', 'burgers', 'thai', 'lime', 'cake', 'superb', 'allergens', 'clearly', 'labeled', 'menu']","['love', 'delicious', 'quality', 'relax', 'enjoy', 'burger', 'drink', 'dessert', 'burger', 'thai', 'lime', 'cake', 'superb', 'allergens', 'clearly', 'label', 'menu']",love delicious quality relax enjoy burger drink dessert burger thai lime cake superb allergens clearly label menu,4,0.9674,Positive,Overall Experience & Ambience,dessert
2024-01-01,"Love the food here. Delicious and good quality. Ambience is amazing too, you can relax here and enjoy. We ordered burgers, drinks and dessert. The burgers and the thai lime cake were superb. Allergens were clearly labeled on the menu. Do …More",love the food here delicious and good quality ambience is amazing too you can relax here and enjoy we ordered burgers drinks and dessert the burgers and the thai lime cake were superb allergens were clearly labeled on the menu do more,"['love', 'delicious', 'quality', 'relax', 'enjoy', 'ordered', 'burgers', 'drinks', 'dessert', 'burgers', 'thai', 'lime', 'cake', 'superb', 'allergens', 'clearly', 'labeled', 'menu']","['love', 'delicious', 'quality', 'relax', 'enjoy', 'burger', 'drink', 'dessert', 'burger', 'thai', 'lime', 'cake', 'superb', 'allergens', 'clearly', 'label', 'menu']",love delicious quality relax enjoy burger drink dessert burger thai lime cake superb allergens clearly label menu,4,0.9674,Positive,Overall Experience & Ambience,cake
